percent_with_internet_subscription,education_25_older_bachelor's_degree,household_median_income,percent_with_disability,total_moved_to_US_from_abroad,Percent_Very_Religious,Percent_Nonreligious,mass_shootings,believes_climate_change,house_polarization
64.72150783,14.8,42849,15.9,14928,57,15,1,63.45,0.72739651
79.88212101,18.2,72237,11.1,7081,38,35,0,69.588,0.67055318
74.84164713,17.1,48510,12.3,44711,36,35,1,68.827,1.58207458
62.30230243,13.4,40511,17.1,9377,51,19,0,64.12,0.84412959
78.75067823,19.5,60190,10.6,291448,34,37,4,75.241,1.60584792
80.49440783,23.8,58823,10.8,34306,35,39,0,71.004,2.04336472
78.18458645,20.6,67098,10.7,21292,32,41,0,71.904,0.69308356
75.37182478,17.2,57846,12.6,4594,36,32,0,70.691,0.7342574
75.20442111,17.6,46036,13.4,174173,42,30,1,70.047,0.97449329
73.00568232,17.8,47829,12.4,55537,52,18,0,67.744,1.01413622
79.60255043,20.8,68020,11.2,15685,32,36,0,78.49,0.31079614
74.88789085,18,46783,13.1,8351,47,29,0,64.889,0.84307243
74.95744155,19.8,56210,11.1,68965,39,31,1,72.649,0.97456011
71.0869178,15.2,47529,13.9,23763,46,28,0,64.138,0.71675906
73.52211479,18.1,52229,11.7,12526,43,30,0,66.872,0.93390738
73.97392005,20,50972,12.4,15200,47,27,0,65.328,0.91874271
65.71557198,14.9,44164,15,16210,56,15,0,65.452,0.59114028
74.20511023,18.1,46974,16.3,4377,27,45,0,69.178,1.03614415
79.88638466,20.3,72483,10.7,45537,39,32,0,75.139,1.06429992
71.96974481,16.4,48273,14.4,49014,41,31,0,68.353,1.0440242
58.68119398,12.9,37963,16.7,6817,61,10,0,65.657,0.79762742
71.03514269,16.9,46931,14.4,18771,44,25,0,66.107,1.19693348
73.78583665,19.7,46972,14,5297,38,35,0,66.106,1.22074842
76.49213871,15.1,51230,12.9,16572,32,41,1,70.286,0.80554225
81.74044672,21.9,64230,12.7,6328,24,51,0,68.292,1.04877222
79.80966828,22.6,70165,10.6,57965,36,33,0,75.11,0.57597808
65.64584005,15,43872,15.2,13404,41,29,1,70.893,1.28577056
76.05224067,19.3,57369,11.2,146945,34,37,1,77.018,0.83880236
71.83458062,18.4,45906,13.8,51451,50,19,0,68.932,0.8948746
73.62737933,20,55759,10.6,3275,46,22,0,62.19,0.58687975
72.3985239,16.4,48081,13.6,46663,41,28,0,66.772,0.93535947
67.74729371,16.1,45690,15.8,15528,49,20,1,63.127,0.63023831
78.77055963,19.3,50251,14.7,18090,31,43,0,72.137,1.03693885
73.67667741,17.5,52007,13.4,60898,41,30,1,68.996,0.78379853
76.92449664,19.8,55902,12.7,7656,34,37,0,71.347,0.24578778
67.6764593,16.6,44163,14.5,17187,54,18,0,66.856,0.84640241
72.63145507,18.9,48947,13.1,2289,46,22,0,65.227,0.61790433
68.09367256,15.6,44297,15.4,24228,54,17,0,64.144,0.74799768
72.7862693,18.3,51704,11.7,185368,48,21,1,68.907,1.41675378
80.62414186,20.9,59770,9.5,18191,60,26,0,63.071,0.849009
77.01848883,21.4,52578,13.8,2390,24,56,0,72.692,0.91665654
76.97537488,21.1,62666,11.3,60331,44,25,0,71.148,0.8467844
79.98621319,20.9,58405,13,52267,32,41,1,72.632,1.33257823
66.15826376,11.3,41253,20.2,2958,42,35,0,60.476,0.74943156
74.44361551,18.4,51467,12.1,18918,38,31,0,68.125,1.15775384
76.65075914,17.8,58752,11.9,1933,36,39,0,60.921,0.69589944
63.5,14.7,42830,16.3,13279,46,29,0,63.45,0.72586701
79,18.4,71583,11.2,4090,26,57,0,69.588,0.65506166
23.9,17.3,50068,12.8,48864,33,48,0,68.827,1.59395513
60.9,13.8,41262,16.9,9106,45,32,0,64.12,0.84412959
77.9,20,61933,10.6,318021,28,51,3,75.241,1.60575255
79.4,24.1,61303,10.7,33518,25,55,0,71.004,2.07733103
77.5,21.3,70048,11,30183,25,54,0,71.904,0.71513976
74.5,18.3,59716,11.9,4453,35,46,0,70.691,0.7342574
74.3,17.4,47463,13.4,195805,32,45,1,70.047,0.98294264
72.2,18.2,49321,12.4,51497,39,34,1,67.744,1.02927763
78.6,20.6,69592,11.7,12120,25,56,0,78.49,0.31079614
73.2,16.8,47861,12.7,5691,34,49,0,64.889,0.86767031
74,20.1,5744,10.9,68157,32,45,0,72.649,0.97338118
69.7,15.7,49446,13.9,25063,35,42,0,64.138,0.71387191
72.2,18.6,53712,11.5,14397,32,44,0,66.872,0.93439416
73,20.3,52504,12.9,15162,33,46,0,65.328,0.92200392
64.8,15.2,44555,14.8,13547,46,30,1,65.452,0.59407136
72.9,19.4,49462,16.1,5565,20,65,0,69.178,1.03614415
78.9,20.7,73971,10.6,46944,31,45,0,75.139,1.06419249
70.7,16.5,49847,14.4,48136,32,47,0,68.353,1.0439465
57.4,13,39680,16.5,8199,47,25,0,65.657,0.80352106
69.8,17.1,48363,14.7,19960,35,42,0,66.107,1.2143578
72.1,19.5,46328,13.2,2958,27,55,0,66.106,1.22074842
75.6,15.2,51450,13.4,13407,27,53,1,70.286,0.81206331
80.9,21.7,66532,12.2,5530,20,63,0,68.292,1.05362518
79.1,23.1,71919,10.5,63583,30,46,0,75.11,0.57740063
64.4,15.1,44803,14.7,8763,36,45,1,70.893,1.28216036
75.3,19.6,58878,11.5,158404,27,51,0,77.018,0.83222602
70.8,18.6,46556,13.8,45968,40,34,0,68.932,0.89227573
72.5,19.8,59029,10.6,3223,32,37,0,62.19,0.58687975
71.2,16.6,49308,13.9,41952,32,47,0,66.772,0.93371187
66.7,16,47529,16.1,17094,39,40,0,63.127,0.63023831
77.5,19.2,51075,15.2,23352,24,59,0,72.137,1.04955186
72.4,17.5,53234,13.8,67499,32,47,1,68.996,0.78567041
76.5,18.1,54891,14,7365,28,53,0,71.347,0.24649625
66.6,16.7,45238,14.8,19637,42,30,0,66.856,0.84593049
71.1,20,50979,12.1,3030,31,43,0,65.227,0.60056155
67,16.2,44361,15.7,27667,42,34,0,64.144,0.74353864
71.8,18.2,53035,11.7,217392,39,36,1,68.907,1.41675378
79.6,20.8,60922,9.6,21581,51,35,0,63.071,0.85058205
75.3,20.9,54166,14.8,1498,17,71,0,72.692,0.93877295
75.8,20.9,64902,11.5,74611,35,41,0,71.148,0.8931177
78.9,21,61366,13,67123,24,58,2,72.632,1.35635243
64.9,11.8,41059,19.9,3607,34,47,1,60.476,0.74898549
73,18.9,52622,11.9,18286,29,45,0,68.125,1.16770104
75.5,17.9,57055,12.4,1449,28,52,0,60.921,0.69623161
68.9,15.4,44765,16.7,11759,57,14,2,63.45,0.6968502
82.2,18.7,73355,11.6,4488,32,42,0,69.588,0.7030183
65,14,41995,17.1,9036,52,18,0,64.12,0.83509685
81.8,20.3,64500,10.6,336667,33,38,1,75.241,1.64264721
83.6,24.8,63909,10.3,33487,34,39,2,71.004,2.325805
82.5,21.7,71346,11,28141,33,39,0,71.904,0.79773552
78,18,61255,12.2,4608,36,34,0,70.691,0.88125109
78,18.2,49426,13.4,212252,37,32,6,70.047,0.94980769
75.2,18.6,51244,12.2,56504,51,19,8,67.744,1.03678735
77.6,17.8,48275,13.8,9008,44,32,1,64.889,0.92339633
77.5,20.3,59588,10.7,66819,37,32,2,72.649,1.02179724
74,16,50532,13.8,22440,43,28,1,64.138,0.69143593
76,18.2,54736,11.9,10746,39,32,0,66.872,0.95341884
76.8,20.4,53906,12.8,17908,45,27,0,65.328,0.95236679
69.3,15.2,45727,14.9,15116,54,17,1,65.452,0.61552545
78.1,19.5,51494,16.3,3656,26,50,1,69.178,1.20702147
81.9,21.1,75847,10.9,49532,38,31,0,75.139,1.19362324
80.4,22.9,63488,10.9,31638,38,32,2,68.931,1.29641481
74,17.3,50238,14.5,22706,42,28,1,66.107,0.80431616
76,20.4,49509,13.7,2825,34,37,1,66.106,1.26562371
79.5,15.5,52431,13.4,17817,33,39,0,70.286,0.98425743
84.9,21.9,70303,12.9,7751,20,55,0,68.292,1.08608429
82,23.3,72222,10.4,65860,35,33,1,75.11,0.58121693
68.1,14.4,45382,15,8881,42,32,1,70.893,1.40530591
78.2,20,60850,11.4,152640,32,38,4,77.018,0.91252127
74.6,18.9,47830,13.9,46474,49,22,5,68.932,0.92762142
76.9,21.5,60557,10.7,3798,44,24,0,62.19,0.5969618
76.6,16.8,51075,13.9,49834,40,30,3,66.772,0.99905146
71.2,16.5,48568,15.6,18365,46,22,1,63.127,0.65330379
81.5,20.2,54148,15.2,22321,29,45,1,72.137,1.0861035
76.5,18.1,55702,13.9,61184,38,34,1,68.996,0.8033842
78.8,19.3,58073,13.4,7658,32,38,0,71.347,0.3402488
70.4,17.3,47238,14.8,19964,51,18,1,66.856,0.88981557
75.9,19.6,53017,12,2858,45,23,1,65.227,0.54562086
70.7,16.1,47275,15.5,23849,53,18,3,64.144,0.71458345
74.7,18.7,55653,11.6,222189,47,22,4,68.907,1.58608605
83.8,21.1,62912,9.9,23691,55,31,0,63.071,0.8046455
79.2,21.3,66262,11.5,70091,41,28,1,71.148,0.9142134
84.4,21.7,64129,12.9,62209,29,45,0,72.632,1.39888662
70.3,11.7,42019,19.4,3637,45,25,0,60.476,0.70117478
77.6,18.9,55638,12,19748,38,33,2,68.125,1.1526707
78.7,17.3,60214,12.4,2844,32,38,0,60.921,0.76266011
55.9,15.4,46257,16.5,16062,56,16,6,63.45,0.67786833
69.4,19,76440,12.1,6559,27,47,0,69.588,0.7030183
67.9,18.1,53558,13.1,53749,36,37,4,68.827,1.63117536
49.1,14.2,44334,17,9051,52,18,0,64.12,0.83765808
72.3,20.6,67739,10.9,336614,31,40,7,75.241,1.63903864
73.6,24.9,65685,10.6,32889,32,41,0,71.004,2.36353792
75.1,21.9,73433,11.2,26416,28,41,0,71.904,0.78276452
73.2,18.4,61757,12.3,5747,37,35,1,70.691,0.88125109
68.6,18.2,50860,13.6,232838,37,32,12,70.047,0.95260197
66.4,18.7,53559,12.9,69341,47,22,6,67.744,1.05088716
62,18.7,51807,13.5,8529,42,28,0,64.889,0.92302726
67.4,20.9,60960,11,65886,37,34,4,72.649,1.02179724
62.4,16.3,52314,13.9,26787,41,30,1,64.138,0.67655074
63,19.1,56247,11.8,12923,40,30,0,66.872,0.96625748
64.3,20.7,54935,12.8,17377,43,29,4,65.328,0.92832334
57.5,15.2,45146,15.5,15970,50,20,3,65.452,0.62908033
69.8,18.8,53079,15.8,4590,23,27,0,69.178,1.11265635
74.3,20.9,78945,11.1,44118,36,33,3,75.139,1.23262737
64.9,17.2,52492,14.5,54853,37,33,6,68.353,1.19522881
69.2,23.1,65599,11,30206,38,33,1,68.931,1.3078323
46,13.5,41754,16.3,5852,59,12,1,65.657,0.84713377
61.8,17.7,51746,14.6,21896,45,27,2,66.107,1.18993653
63.8,20.9,50027,14.4,3545,34,36,0,66.106,1.26562371
66.6,21.1,56927,11.9,10295,43,28,0,64.448,0.90558445
67.3,15.3,55180,13.2,14477,27,41,1,70.286,0.98425743
77.5,22.5,70936,12.8,6973,29,50,0,68.292,1.08801978
74.7,23.7,76126,10.5,69601,34,35,1,75.11,0.57915697
56.7,15.5,46748,15.1,10604,41,30,2,70.893,1.40530591
70.8,20.1,62909,11.5,166069,31,40,2,77.018,0.89478918
65.8,19.6,50584,13.8,50275,47,23,1,68.932,0.90558445
70.3,21.7,60656,11.5,4715,44,29,0,62.19,0.5969618
67.4,17.2,52334,14.2,48481,38,31,0,66.772,1.04595879
55.7,16.8,49176,16.1,14984,49,22,0,63.127,0.65444074
70.6,20,57532,14.7,27132,27,48,0,72.137,1.08460923
69.1,18.8,56907,14.2,68801,38,33,2,68.996,0.8033842
73.3,20.6,60596,13.8,7592,27,43,0,71.347,0.33069423
61.5,17.4,49501,15.2,19189,52,19,2,66.856,0.88658992
67.1,19.6,54467,12.2,4034,53,22,0,65.227,0.54552255
60.2,16.7,48547,15.5,23449,50,20,5,64.144,0.73543932
62.7,18.9,56565,11.8,234749,45,24,8,68.907,1.58608605
70.6,21.4,65977,9.9,24835,54,30,0,63.071,0.82633541
69,21.7,68114,11.8,78325,42,28,7,71.148,0.93428061
75.6,22,67106,13,61342,29,45,2,72.632,1.39888662
61.9,12.6,43385,20.1,3742,44,26,0,60.476,0.69510695
66.5,19.3,56811,12,19943,38,35,0,68.125,1.14378294
65.4,17.4,59882,13.6,2105,39,32,0,60.921,0.77438294