percent_with_internet_subscription,education_25_older_bachelor's_degree,household_median_income,percent_with_disability,total_moved_to_US_from_abroad,Percent_Very_Religious,Percent_Nonreligious,mass_shootings,believes_climate_change,senate_polarization
64.72150783,14.8,42849,15.9,14928,57,15,1,63.45,0.92944676
79.88212101,18.2,72237,11.1,7081,38,35,0,69.588,0.88021364
74.84164713,17.1,48510,12.3,44711,36,35,1,68.827,1.43966134
62.30230243,13.4,40511,17.1,9377,51,19,0,64.12,0.55458944
78.75067823,19.5,60190,10.6,291448,34,37,4,75.241,1.53893689
80.49440783,23.8,58823,10.8,34306,35,39,0,71.004,1.79691102
78.18458645,20.6,67098,10.7,21292,32,41,0,71.904,0.81098378
75.37182478,17.2,57846,12.6,4594,36,32,0,70.691,0.62052402
75.20442111,17.6,46036,13.4,174173,42,30,1,70.047,0.92685556
73.00568232,17.8,47829,12.4,55537,52,18,0,67.744,0.93847562
79.60255043,20.8,68020,11.2,15685,32,36,0,78.49,0.50950769
74.88789085,18,46783,13.1,8351,47,29,0,64.889,0.89574742
74.95744155,19.8,56210,11.1,68965,39,31,1,72.649,0.68340151
71.0869178,15.2,47529,13.9,23763,46,28,0,64.138,0.62477562
73.52211479,18.1,52229,11.7,12526,43,30,0,66.872,0.99568823
73.97392005,20,50972,12.4,15200,47,27,0,65.328,0.80332043
65.71557198,14.9,44164,15,16210,56,15,0,65.452,0.50685567
74.20511023,18.1,46974,16.3,4377,27,45,0,69.178,1.00902834
79.88638466,20.3,72483,10.7,45537,39,32,0,75.139,1.01758046
71.96974481,16.4,48273,14.4,49014,41,31,0,68.353,1.07663144
58.68119398,12.9,37963,16.7,6817,61,10,0,65.657,0.92635173
71.03514269,16.9,46931,14.4,18771,44,25,0,66.107,0.91974019
73.78583665,19.7,46972,14,5297,38,35,0,66.106,1.12449219
76.49213871,15.1,51230,12.9,16572,32,41,1,70.286,0.81012592
81.74044672,21.9,64230,12.7,6328,24,51,0,68.292,1.13119897
79.80966828,22.6,70165,10.6,57965,36,33,0,75.11,0.55873265
65.64584005,15,43872,15.2,13404,41,29,1,70.893,1.14761518
76.05224067,19.3,57369,11.2,146945,34,37,1,77.018,1.01591344
71.83458062,18.4,45906,13.8,51451,50,19,0,68.932,0.85241822
73.62737933,20,55759,10.6,3275,46,22,0,62.19,0.55240117
72.3985239,16.4,48081,13.6,46663,41,28,0,66.772,0.98822395
67.74729371,16.1,45690,15.8,15528,49,20,1,63.127,0.58563611
78.77055963,19.3,50251,14.7,18090,31,43,0,72.137,1.20246147
73.67667741,17.5,52007,13.4,60898,41,30,1,68.996,0.82607846
76.92449664,19.8,55902,12.7,7656,34,37,0,71.347,0.33559936
67.6764593,16.6,44163,14.5,17187,54,18,0,66.856,1.02982666
72.63145507,18.9,48947,13.1,2289,46,22,0,65.227,0.51465225
68.09367256,15.6,44297,15.4,24228,54,17,0,64.144,0.6985112
72.7862693,18.3,51704,11.7,185368,48,21,1,68.907,1.31500159
80.62414186,20.9,59770,9.5,18191,60,26,0,63.071,0.80912191
77.01848883,21.4,52578,13.8,2390,24,56,0,72.692,0.69096735
76.97537488,21.1,62666,11.3,60331,44,25,0,71.148,1.10829701
79.98621319,20.9,58405,13,52267,32,41,1,72.632,1.30832263
66.15826376,11.3,41253,20.2,2958,42,35,0,60.476,0.55838493
74.44361551,18.4,51467,12.1,18918,38,31,0,68.125,1.10716697
76.65075914,17.8,58752,11.9,1933,36,39,0,60.921,0.54597196
63.5,14.7,42830,16.3,13279,46,29,0,63.45,0.92944676
79,18.4,71583,11.2,4090,26,57,0,69.588,0.88021364
23.9,17.3,50068,12.8,48864,33,48,0,68.827,1.47128253
60.9,13.8,41262,16.9,9106,45,32,0,64.12,0.54546518
77.9,20,61933,10.6,318021,28,51,3,75.241,1.66575076
79.4,24.1,61303,10.7,33518,25,55,0,71.004,1.72701386
77.5,21.3,70048,11,30183,25,54,0,71.904,0.79130673
74.5,18.3,59716,11.9,4453,35,46,0,70.691,0.62052402
74.3,17.4,47463,13.4,195805,32,45,1,70.047,0.92685556
72.2,18.2,49321,12.4,51497,39,34,1,67.744,0.91517774
78.6,20.6,69592,11.7,12120,25,56,0,78.49,0.50950769
73.2,16.8,47861,12.7,5691,34,49,0,64.889,0.90167126
74,20.1,5744,10.9,68157,32,45,0,72.649,0.68580525
69.7,15.7,49446,13.9,25063,35,42,0,64.138,0.63188668
72.2,18.6,53712,11.5,14397,32,44,0,66.872,0.99857755
73,20.3,52504,12.9,15162,33,46,0,65.328,0.78089325
64.8,15.2,44555,14.8,13547,46,30,1,65.452,0.50685567
72.9,19.4,49462,16.1,5565,20,65,0,69.178,1.01368574
78.9,20.7,73971,10.6,46944,31,45,0,75.139,1.02870022
70.7,16.5,49847,14.4,48136,32,47,0,68.353,1.07663144
57.4,13,39680,16.5,8199,47,25,0,65.657,0.9438395
69.8,17.1,48363,14.7,19960,35,42,0,66.107,1.0701798
72.1,19.5,46328,13.2,2958,27,55,0,66.106,1.12449219
75.6,15.2,51450,13.4,13407,27,53,1,70.286,0.81012592
80.9,21.7,66532,12.2,5530,20,63,0,68.292,1.13119897
79.1,23.1,71919,10.5,63583,30,46,0,75.11,0.55721609
64.4,15.1,44803,14.7,8763,36,45,1,70.893,1.14761518
75.3,19.6,58878,11.5,158404,27,51,0,77.018,1.02074744
70.8,18.6,46556,13.8,45968,40,34,0,68.932,0.86782374
72.5,19.8,59029,10.6,3223,32,37,0,62.19,0.55240117
71.2,16.6,49308,13.9,41952,32,47,0,66.772,0.98822395
66.7,16,47529,16.1,17094,39,40,0,63.127,0.58563611
77.5,19.2,51075,15.2,23352,24,59,0,72.137,1.18236484
72.4,17.5,53234,13.8,67499,32,47,1,68.996,0.82811021
76.5,18.1,54891,14,7365,28,53,0,71.347,0.33559936
66.6,16.7,45238,14.8,19637,42,30,0,66.856,1.02857245
71.1,20,50979,12.1,3030,31,43,0,65.227,0.51272102
67,16.2,44361,15.7,27667,42,34,0,64.144,0.6985112
71.8,18.2,53035,11.7,217392,39,36,1,68.907,1.31500159
79.6,20.8,60922,9.6,21581,51,35,0,63.071,0.80912191
75.3,20.9,54166,14.8,1498,17,71,0,72.692,0.75932742
75.8,20.9,64902,11.5,74611,35,41,0,71.148,1.08894497
78.9,21,61366,13,67123,24,58,2,72.632,1.29936931
64.9,11.8,41059,19.9,3607,34,47,1,60.476,0.55838493
73,18.9,52622,11.9,18286,29,45,0,68.125,1.10716697
75.5,17.9,57055,12.4,1449,28,52,0,60.921,0.54597196
68.9,15.4,44765,16.7,11759,57,14,2,63.45,0.85099961
82.2,18.7,73355,11.6,4488,32,42,0,69.588,0.80618452
65,14,41995,17.1,9036,52,18,0,64.12,0.67131671
81.8,20.3,64500,10.6,336667,33,38,1,75.241,1.77342568
83.6,24.8,63909,10.3,33487,34,39,2,71.004,1.90568805
82.5,21.7,71346,11,28141,33,39,0,71.904,0.80974453
78,18,61255,12.2,4608,36,34,0,70.691,0.6635992
78,18.2,49426,13.4,212252,37,32,6,70.047,0.93173778
75.2,18.6,51244,12.2,56504,51,19,8,67.744,0.95750562
77.6,17.8,48275,13.8,9008,44,32,1,64.889,0.94310759
77.5,20.3,59588,10.7,66819,37,32,2,72.649,0.71285037
74,16,50532,13.8,22440,43,28,1,64.138,0.56757481
76,18.2,54736,11.9,10746,39,32,0,66.872,1.00688798
76.8,20.4,53906,12.8,17908,45,27,0,65.328,0.79066811
69.3,15.2,45727,14.9,15116,54,17,1,65.452,0.50187066
78.1,19.5,51494,16.3,3656,26,50,1,69.178,1.16049272
81.9,21.1,75847,10.9,49532,38,31,0,75.139,1.00695188
80.4,22.9,63488,10.9,31638,38,32,2,68.931,1.20959198
74,17.3,50238,14.5,22706,42,28,1,66.107,0.9795969
76,20.4,49509,13.7,2825,34,37,1,66.106,1.18633862
79.5,15.5,52431,13.4,17817,33,39,0,70.286,0.8111499
84.9,21.9,70303,12.9,7751,20,55,0,68.292,1.15274987
82,23.3,72222,10.4,65860,35,33,1,75.11,0.57580775
68.1,14.4,45382,15,8881,42,32,1,70.893,1.15559374
78.2,20,60850,11.4,152640,32,38,4,77.018,1.09488088
74.6,18.9,47830,13.9,46474,49,22,5,68.932,0.90248236
76.9,21.5,60557,10.7,3798,44,24,0,62.19,0.56800409
76.6,16.8,51075,13.9,49834,40,30,3,66.772,0.95248891
71.2,16.5,48568,15.6,18365,46,22,1,63.127,0.4776642
81.5,20.2,54148,15.2,22321,29,45,1,72.137,1.16297233
76.5,18.1,55702,13.9,61184,38,34,1,68.996,0.81205978
78.8,19.3,58073,13.4,7658,32,38,0,71.347,0.36074352
70.4,17.3,47238,14.8,19964,51,18,1,66.856,1.05080811
75.9,19.6,53017,12,2858,45,23,1,65.227,0.60496195
70.7,16.1,47275,15.5,23849,53,18,3,64.144,0.8093257
74.7,18.7,55653,11.6,222189,47,22,4,68.907,1.43879813
83.8,21.1,62912,9.9,23691,55,31,0,63.071,0.96345686
79.2,21.3,66262,11.5,70091,41,28,1,71.148,1.10537026
84.4,21.7,64129,12.9,62209,29,45,0,72.632,1.28017217
70.3,11.7,42019,19.4,3637,45,25,0,60.476,0.7239982
77.6,18.9,55638,12,19748,38,33,2,68.125,1.13694724
78.7,17.3,60214,12.4,2844,32,38,0,60.921,0.54964526
55.9,15.4,46257,16.5,16062,56,16,6,63.45,0.85099961
69.4,19,76440,12.1,6559,27,47,0,69.588,0.80618452
67.9,18.1,53558,13.1,53749,36,37,4,68.827,1.53324339
49.1,14.2,44334,17,9051,52,18,0,64.12,0.67131671
72.3,20.6,67739,10.9,336614,31,40,7,75.241,1.77588852
73.6,24.9,65685,10.6,32889,32,41,0,71.004,1.9158262
75.1,21.9,73433,11.2,26416,28,41,0,71.904,0.8327198
73.2,18.4,61757,12.3,5747,37,35,1,70.691,0.6635992
68.6,18.2,50860,13.6,232838,37,32,12,70.047,0.92211816
66.4,18.7,53559,12.9,69341,47,22,6,67.744,0.94198443
62,18.7,51807,13.5,8529,42,28,0,64.889,0.90357444
67.4,20.9,60960,11,65886,37,34,4,72.649,0.71285037
62.4,16.3,52314,13.9,26787,41,30,1,64.138,0.58167754
63,19.1,56247,11.8,12923,40,30,0,66.872,1.00688798
64.3,20.7,54935,12.8,17377,43,29,4,65.328,0.79066811
57.5,15.2,45146,15.5,15970,50,20,3,65.452,0.57744117
69.8,18.8,53079,15.8,4590,23,27,0,69.178,0.98378296
74.3,20.9,78945,11.1,44118,36,33,3,75.139,1.12839306
64.9,17.2,52492,14.5,54853,37,33,6,68.353,1.06615265
69.2,23.1,65599,11,30206,38,33,1,68.931,1.20959198
46,13.5,41754,16.3,5852,59,12,1,65.657,0.94882051
61.8,17.7,51746,14.6,21896,45,27,2,66.107,0.96577993
63.8,20.9,50027,14.4,3545,34,36,0,66.106,1.18633862
66.6,21.1,56927,11.9,10295,43,28,0,64.448,0.90248236
67.3,15.3,55180,13.2,14477,27,41,1,70.286,0.8111499
77.5,22.5,70936,12.8,6973,29,50,0,68.292,1.15274987
74.7,23.7,76126,10.5,69601,34,35,1,75.11,0.56983016
56.7,15.5,46748,15.1,10604,41,30,2,70.893,1.16367285
70.8,20.1,62909,11.5,166069,31,40,2,77.018,1.07001356
65.8,19.6,50584,13.8,50275,47,23,1,68.932,0.90248236
70.3,21.7,60656,11.5,4715,44,29,0,62.19,0.56800409
67.4,17.2,52334,14.2,48481,38,31,0,66.772,0.95248891
55.7,16.8,49176,16.1,14984,49,22,0,63.127,0.49976614
70.6,20,57532,14.7,27132,27,48,0,72.137,1.16297233
69.1,18.8,56907,14.2,68801,38,33,2,68.996,0.81205978
73.3,20.6,60596,13.8,7592,27,43,0,71.347,0.48214716
61.5,17.4,49501,15.2,19189,52,19,2,66.856,1.05080811
67.1,19.6,54467,12.2,4034,53,22,0,65.227,0.60200351
60.2,16.7,48547,15.5,23449,50,20,5,64.144,0.77411705
62.7,18.9,56565,11.8,234749,45,24,8,68.907,1.43879813
70.6,21.4,65977,9.9,24835,54,30,0,63.071,0.96734109
69,21.7,68114,11.8,78325,42,28,7,71.148,1.12715288
75.6,22,67106,13,61342,29,45,2,72.632,1.28017217
61.9,12.6,43385,20.1,3742,44,26,0,60.476,0.63646448
66.5,19.3,56811,12,19943,38,35,0,68.125,1.13694724
65.4,17.4,59882,13.6,2105,39,32,0,60.921,0.5480526